text,start,duration,rank
one more matrix H which is gonna be 2 1,0:05:37,12.921,50
7 negative 3 6 negative 2 5 and 4 and,0:05:43,10.521,50
also determine which of these matrices,0:05:50,6.699,50
represents a square matrix so let's,0:05:54,7.389,50
start with matrix C it has two rows and,0:05:57,8.611,50
it has two columns so therefore it's a 2,0:06:01,9.84,50
by 2 matrix now this is a square matrix,0:06:06,7.799,50
because the number of rows and columns,0:06:11,6.75,50
are the same in a square all sides are,0:06:13,9.0,50
the same now for matrix D we have 3 rows,0:06:18,9.781,50
and 2 columns so this is going to be,0:06:22,12.03,50
considered a 3 by 2 matrix so the order,0:06:27,9.209,50
of the matrix is always gonna be the,0:06:34,5.81,50
number of rows times the number of,0:06:37,3.74,50
now for matrix e it has one row and one,0:06:40,8.349,50
column so because it only has one number,0:06:45,10.6,50
it's a one by one matrix now for H there,0:06:49,13.53,50
are two rows and there's four columns so,0:06:56,12.479,50
this is a two by four matrix and then,0:07:02,10.98,50
for F we have one row and there's four,0:07:08,6.78,50
columns so that's a one by four matrix,0:07:13,5.971,50
and finally the last one gene that's,0:07:15,6.81,50
another score matrix as we can see,0:07:19,5.669,50
there's three ropes and it has three,0:07:22,5.731,50
columns so that's a three by three,0:07:25,5.85,50
matrix so now you know how to determine,0:07:27,5.459,50
the order of the matrix and you also,0:07:31,5.31,50
know how to identify the elements within,0:07:33,7.041,50
a matrix now let's focus on add in,0:07:36,6.84,50
matrices so let's say if we have matrix,0:07:40,7.359,50
a and it has the numbers two three five,0:07:43,10.07,50
negative 4 and we have matrix B which is,0:07:47,13.44,50
seven four negative three and five what,0:07:53,13.3,50
is the sum of matrix a and B so for add,0:08:01,8.341,50
in those two matrices all we need to do,0:08:06,7.17,50
is add the corresponding elements and by,0:08:09,7.009,50
the way if you have a two-by-two matrix,0:08:13,4.861,50
you can only add it to another,0:08:16,5.261,50
two-by-two matrix the number of rows and,0:08:18,5.25,50
columns must be the same when added,0:08:21,4.35,50
matrices or subtract the matrices as,0:08:23,6.599,50
well so the first element the one in the,0:08:26,6.899,50
first row first column we need to add it,0:08:30,6.06,50
with element b1 one in the first row in,0:08:33,6.721,50
the first column they have to match so,0:08:36,6.421,50
this is gonna be two plus seven and then,0:08:39,7.68,50
we need to add these two so in the first,0:08:43,5.97,50
row second column it's gonna be three,0:08:47,4.2,50
plus four and then we're gonna add those,0:08:48,4.31,50
two numbers,0:08:51,5.7,50
so that's gonna be five plus negative,0:08:53,7.39,50
three and these two numbers which are in,0:08:57,6.03,50
the second row second column the result,0:09:00,4.92,50
will remain in that position second row,0:09:03,9.39,50
second column now 2 plus 7 is 9 3 plus 4,0:09:05,12.36,50
is 7 5 plus negative 3 is 2 negative 4,0:09:12,9.99,50
plus 5 is 1 so this is the sum of matrix,0:09:17,7.47,50
a and B and that's a simple way to add,0:09:22,5.64,50
two matrices together it's not very,0:09:25,10.35,50
complicated now let's say if you want to,0:09:28,12.77,50
multiply matrix a by 4 what will you get,0:09:35,8.09,50
4 times a all you need to do is multiply,0:09:41,6.04,50
every element by 4 so it's gonna be 4,0:09:43,10.57,50
times 2 4 times 3 4 times 5 and 4 times,0:09:47,12.0,50
negative 4 so then for a it's gonna,0:09:54,17.04,50
equal 8 12 20 and negative 16 so what,0:09:59,15.36,50
about subtracting 2 matrices let's,0:10:11,7.41,50
subtract matrix a and B so we're gonna,0:10:14,6.6,50
start with a and then subtracted by B so,0:10:18,6.72,50
it's gonna be 2 minus 7 3 minus 4 5,0:10:21,8.37,50
minus negative 3 and then negative 4,0:10:25,8.67,50
minus 5 so a minus B that's gonna be 2,0:10:29,8.22,50
minus 7 which is negative 5 3 minus 4 is,0:10:34,6.96,50
negative 1 5 minus negative 3 or 5 plus,0:10:37,6.48,50
3 that's 8 negative 4 minus 5 is,0:10:41,5.81,50
negative 9 and so that's the difference,0:10:44,7.53,50
between the two matrices and that's it,0:10:47,6.64,50
for this video if you want to find more,0:10:51,4.56,50
videos on pre-cal feel free to check the,0:10:53,4.29,50
description section of this video I'm,0:10:56,4.11,50
gonna pull some links there so thanks,0:10:57,4.85,50
again for watching,0:11:00,2.42,50
